연번,평가구분,장기요양기관기호,장기요양기관명,급여종류,설립주체,관할시도명,관할시군구명,평가일자,평가등급,평가총점,기관운영,환경및안전,수급자권리보장,급여제공과정,급여제공결과,기관운영(2025),수급자존중(2025),서비스제공(2025),서비스결과(2025)
1,2021년 정기평가,1-11560-00018,서울특별시립 남부노인전문요양원,01.입소시설30인이상,지방자치단체,서울특별시,영등포구,2021-11-30,A,99.55,98.33,100,100,100,98,,,,
2,2021년 정기평가,1-11560-00023,구립영등포노인케어센터,01.입소시설30인이상,지방자치단체,서울특별시,영등포구,2021-11-30,A,93.55,98.33,100,100,87.86,80.5,,,,
3,2021년 정기평가,1-11560-00049,참노인요양원(공동생활가정),03.입소시설10인미만,개인,서울특별시,영등포구,2022-10-27,B,82.55,82.13,96.43,62.5,77.51,86,,,,
4,2021년 정기평가,1-11560-00057,주현노인요양원(공동생활가정),03.입소시설10인미만,개인,서울특별시,영등포구,2022-10-27,C,81.5,82.13,98.21,50,77.51,85.5,,,,
5,2021년 정기평가,1-11560-00213,21세기요양원 노인요양공동생활가정,03.입소시설10인미만,개인,서울특별시,영등포구,2022-05-09,C,83.3,53.6,95.54,66.67,89.17,93,,,,
6,2021년 정기평가,1-11560-00295,어버이사랑노인의료복지센터1,03.입소시설10인미만,개인,서울특별시,영등포구,2022-06-14,B,83.96,76.8,86.61,66.67,87.51,95.6,,,,
7,2021년 정기평가,1-11560-00296,어버이사랑노인의료복지센터2,03.입소시설10인미만,개인,서울특별시,영등포구,2022-06-14,C,76.65,71.4,83.93,66.67,79.54,66,,,,
8,2021년 정기평가,1-11560-00297,어버이사랑노인의료복지센터3,03.입소시설10인미만,개인,서울특별시,영등포구,2022-06-14,C,78.81,71.4,86.61,66.67,75,96,,,,
9,2021년 정기평가,1-11560-00287,어버이사랑노인의료실버타운,03.입소시설10인미만,개인,서울특별시,영등포구,2022-01-25,C,77.62,55.33,73.21,66.67,90.91,90,,,,
10,2021년 정기평가,1-11560-00148,미래요양원,03.입소시설10인미만,법인,서울특별시,영등포구,2022-01-18,C,76.61,83.93,88.39,62.5,63.34,96,,,,
11,2021년 정기평가,1-11560-00150,미래요양원2,03.입소시설10인미만,법인,서울특별시,영등포구,2022-01-18,C,81.86,87.53,88.39,50,82.51,91,,,,
12,2021년 정기평가,1-11560-00264,은빛사랑1,03.입소시설10인미만,개인,서울특별시,영등포구,2022-01-14,C,73.11,73.2,86.61,66.67,61.66,83,,,,
13,2021년 정기평가,1-11560-00265,은빛사랑2,03.입소시설10인미만,개인,서울특별시,영등포구,2022-01-14,C,75.52,80.33,98.21,66.67,58.34,75.5,,,,
14,2021년 정기평가,1-11560-00266,은빛사랑3,03.입소시설10인미만,개인,서울특별시,영등포구,2022-01-14,A,96.5,91.07,100,100,95.83,93,,,,
15,2021년 정기평가,1-11560-00193,대림실버1 노인요양공동생활가정,03.입소시설10인미만,개인,서울특별시,영등포구,2021-04-21,C,76.87,78.6,80.36,66.67,76.51,78,,,,
16,2021년 정기평가,1-11560-00001,서울성모원 노인요양공동생활가정,03.입소시설10인미만,법인,서울특별시,영등포구,2022-08-10,A,95.71,91.07,90.18,100,100,98,,,,
17,2021년 정기평가,1-11560-00194,대림실버2 노인요양공동생활가정,03.입소시설10인미만,개인,서울특별시,영등포구,2021-04-22,B,84.77,87.53,82.14,66.67,89.4,93.5,,,,
18,2021년 정기평가,1-11215-00268,워커힐케어센터1,01.입소시설30인이상,법인,서울특별시,광진구,2022-02-10,C,77.6,60,94.64,62.5,76.43,78.5,,,,
19,2021년 정기평가,1-11215-00269,워커힐케어센터2,01.입소시설30인이상,법인,서울특별시,광진구,2022-06-02,C,73.1,65,81.25,50,74.29,86,,,,
20,2021년 정기평가,1-11215-00142,워커힐실버타운,01.입소시설30인이상,법인,서울특별시,광진구,2021-12-02,A,91.85,95,100,100,85.71,76,,,,
21,2021년 정기평가,1-11215-00101,광진한울촌노인요양시설,01.입소시설30인이상,법인,서울특별시,광진구,2022-07-22,C,73.1,65,94.64,66.67,55.71,93.5,,,,
22,2021년 정기평가,1-11215-00118,므두셀라실버타운,01.입소시설30인이상,개인,서울특별시,광진구,2022-06-15,C,79.7,90,94.64,62.5,67.43,86,,,,
23,2021년 정기평가,1-11215-00148,광진원광실버센터,02.입소시설10이상30인미만,법인,서울특별시,광진구,2022-08-09,C,72.56,60,85.71,83.33,60.6,83.5,,,,
24,2021년 정기평가,1-11215-00005,광진소규모요양시설,02.입소시설10이상30인미만,법인,서울특별시,광진구,2021-11-19,B,85.19,91.67,89.29,83.33,79.54,86,,,,
25,2021년 정기평가,1-11215-00095,광진노인보호센터,03.입소시설10인미만,지방자치단체,서울특별시,광진구,2022-01-10,B,83.04,82.13,100,75,68.34,98,,,,
26,2021년 정기평가,1-11215-00161,동부실버케어요양원,03.입소시설10인미만,개인,서울특별시,광진구,2022-02-07,D,67.32,60.73,87.5,87.5,44.17,77.5,,,,
27,2021년 정기평가,1-11215-00252,강변케어센터2,03.입소시설10인미만,개인,서울특별시,광진구,2022-09-21,C,71.71,73.2,87.5,70.83,52.51,93.5,,,,
28,2021년 정기평가,1-11215-00254,강변케어센터,03.입소시설10인미만,개인,서울특별시,광진구,2022-09-21,B,85.21,80.33,98.21,79.17,78.03,88.5,,,,
29,2021년 정기평가,1-11215-00093,실버밸리노인요양공동생활가정,03.입소시설10인미만,개인,서울특별시,광진구,2022-10-06,E,58.09,78.6,72.32,50,34.86,78.5,,,,
30,2021년 정기평가,1-11215-00009,사랑이있는집노인요양공동생활가정,03.입소시설10인미만,개인,서울특별시,광진구,2021-12-21,D,63.11,48.2,87.5,50,46.66,90.5,,,,
31,2021년 정기평가,1-11215-00196,성동실버케어요양원,03.입소시설10인미만,개인,서울특별시,광진구,2022-10-20,E,59.97,58.93,82.14,79.17,26.51,93.5,,,,
32,2021년 정기평가,1-11215-00271,노블레스요양원1,03.입소시설10인미만,개인,서울특별시,광진구,2022-10-20,D,66.49,64.27,83.93,62.5,52.29,75.5,,,,
33,2021년 정기평가,1-11215-00260,노블레스요양원2,03.입소시설10인미만,개인,서울특별시,광진구,2022-06-23,D,67.53,64.27,86.61,79.17,41.66,95.6,,,,
34,2021년 정기평가,1-11215-00112,밝은요양원,03.입소시설10인미만,개인,서울특별시,광진구,2022-05-27,B,83.3,78.6,90.18,66.67,84.17,88,,,,
35,2021년 정기평가,1-11230-00008,유자원,01.입소시설30인이상,법인,서울특별시,동대문구,2022-09-01,E,98,96.67,100,100,95.71,100,,,,
36,2021년 정기평가,1-11230-00009,은천요양원,01.입소시설30인이상,법인,서울특별시,동대문구,2022-02-04,D,66.1,65,83.04,62.5,49.29,83.5,,,,
37,2021년 정기평가,1-11230-00022,은천노인요양센터,02.입소시설10이상30인미만,법인,서울특별시,동대문구,2022-02-04,A,96.01,100,97.32,91.67,95.46,93.5,,,,
38,2021년 정기평가,1-11230-00113,한사랑실버케어요양원,02.입소시설10이상30인미만,개인,서울특별시,동대문구,2021-12-14,E,61.33,33.33,89.29,58.33,53.8,55,,,,
39,2021년 정기평가,1-11230-00292,정든요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-08-05,E,59.01,46.4,74.11,54.17,47.71,81,,,,
40,2021년 정기평가,1-11230-00241,도우누리편안한요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-09-02,E,62.56,33.93,89.29,41.67,56.06,78.5,,,,
41,2021년 정기평가,1-11230-00284,서울팔팔요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-05-10,E,71.94,62.53,86.61,66.67,60.6,91,,,,
42,2021년 정기평가,1-11230-00285,서울백세요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-05-10,C,78.19,71.4,86.61,83.33,72.51,78.5,,,,
43,2021년 정기평가,1-11230-00064,성심복지센터,03.입소시설10인미만,개인,서울특별시,동대문구,2022-01-17,C,72.07,55.33,76.79,66.67,71.2,93.5,,,,
44,2021년 정기평가,1-11230-00061,은파요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-02-10,E,58.55,71.4,89.29,45.83,29.54,70,,,,
45,2021년 정기평가,1-11230-00090,은나무요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-02-10,E,62.79,75,89.29,58.33,30.83,87.5,,,,
46,2021년 정기평가,1-11230-00303,평화요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2021-11-25,D,65.68,75,90.18,41.67,42.51,93,,,,
47,2021년 정기평가,1-11230-00307,미소지움요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-09-21,E,53.68,50,71.43,54.17,32.51,83,,,,
48,2021년 정기평가,1-11230-00268,효림요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-06-29,E,59.2,57.13,71.43,62.5,41.66,85.5,,,,
49,2021년 정기평가,1-11230-00270,경동효림요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-06-29,C,71.85,60.73,81.25,62.5,71.97,73,,,,
50,2021년 정기평가,1-11230-00282,동대문효림요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-06-29,E,65.89,39.27,79.46,62.5,59.86,93,,,,
51,2021년 정기평가,1-11230-00283,제기동효림요양원,03.입소시설10인미만,개인,서울특별시,동대문구,2022-06-29,C,76.55,60.73,83.04,62.5,81.83,80.5,,,,
52,2021년 정기평가,1-11290-00078,진각노인요양센터,01.입소시설30인이상,법인,서울특별시,성북구,2022-07-26,B,86.1,80,97.32,66.67,84.29,93.5,,,,
53,2021년 정기평가,1-11290-00100,길음안나의집 노인전문요양원,01.입소시설30인이상,법인,서울특별시,성북구,2022-07-21,B,83.1,86.67,97.32,83.33,68.57,88.5,,,,
54,2021년 정기평가,1-11290-00115,케어윌,01.입소시설30인이상,법인,서울특별시,성북구,2022-06-10,B,84.6,71.67,91.07,91.67,81.43,88.5,,,,
55,2021년 정기평가,1-11290-00250,정진요양원,01.입소시설30인이상,개인,서울특별시,성북구,2021-11-22,C,78.8,78.33,80.36,50,88.57,75.5,,,,
